City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Qui Nhon,VN,2022-05-07 19:05:57,13.7667,109.2333,77.59,90,100,5.5
148,La Huerta,MX,2022-05-07 19:05:57,19.4667,-104.65,72.09,32,29,9.04
149,Chuy,UY,2022-05-07 19:05:58,-33.6971,-53.4616,69.93,57,16,4.5
150,Nanortalik,GL,2022-05-07 19:05:58,60.1432,-45.2371,39.79,74,100,5.53
151,Clyde River,CA,2022-05-07 19:02:04,70.4692,-68.5914,27.18,69,100,3.11
152,Derzhavinsk,KZ,2022-05-07 19:05:59,51.1,66.3167,44.89,38,0,10.4
153,Sobolevo,RU,2022-05-07 19:02:49,54.4299,31.8996,50.25,83,99,10.94
154,Henties Bay,NA,2022-05-07 19:06:00,-22.116,14.2845,58.35,85,0,12.35
155,Mar Del Plata,AR,2022-05-07 19:06:00,-38.0023,-57.5575,73.42,66,0,19.57
156,Batagay-Alyta,RU,2022-05-07 19:06:01,67.8006,130.4114,9.46,94,100,3.76
157,Kalmunai,LK,2022-05-07 19:03:46,7.4167,81.8167,82.15,80,100,2.28
158,Sioux Lookout,CA,2022-05-07 19:06:01,50.1001,-91.917,65.75,51,42,10.65
159,New Norfolk,AU,2022-05-07 19:06:02,-42.7826,147.0587,53.1,68,100,1.01
160,Cayenne,GF,2022-05-07 19:06:02,4.9333,-52.3333,83.08,1,100,11.5
161,Ouadda,CF,2022-05-07 19:06:03,8.0777,22.4007,73.58,76,100,2.75
162,Comodoro Rivadavia,AR,2022-05-07 19:02:09,-45.8667,-67.5,64.0,57,100,9.24
163,Stromness,GB,2022-05-07 19:03:07,58.965,-3.296,48.16,75,100,5.99
164,Shubarshi,KZ,2022-05-07 19:06:04,48.5872,57.1869,53.01,32,100,21.36
165,Denpasar,ID,2022-05-07 19:06:05,-8.65,115.2167,82.06,88,20,2.3
166,Constitucion,CL,2022-05-07 19:06:05,-35.3333,-72.4167,63.75,57,0,8.97
167,Zyryanka,RU,2022-05-07 19:06:06,65.75,150.85,28.29,94,100,8.66
168,Winneba,GH,2022-05-07 19:06:07,5.3511,-0.6231,81.52,79,100,7.23
169,Ribeira Grande,PT,2022-05-07 19:06:07,38.5167,-28.7,64.8,63,20,6.91
170,Verkhoyansk,RU,2022-05-07 19:06:08,67.5447,133.385,8.85,92,99,1.57
171,Faanui,PF,2022-05-07 19:06:09,-16.4833,-151.75,81.03,77,0,7.7
172,Dikson,RU,2022-05-07 19:06:10,73.5069,80.5464,8.08,96,100,8.08
173,Los Llanos De Aridane,ES,2022-05-07 19:06:10,28.6585,-17.9182,67.12,81,20,12.66
174,Rawson,AR,2022-05-07 19:03:32,-43.3002,-65.1023,77.49,29,26,12.93
175,Isangel,VU,2022-05-07 19:06:11,-19.55,169.2667,75.13,65,22,17.43
176,Acarau,BR,2022-05-07 19:02:56,-2.8856,-40.12,81.68,81,84,10.45
177,Alice Springs,AU,2022-05-07 19:06:12,-23.7,133.8833,35.15,69,0,0.0
178,Vanimo,PG,2022-05-07 19:03:33,-2.6741,141.3028,78.13,92,100,5.44
179,Hohhot,CN,2022-05-07 19:06:13,40.8106,111.6522,47.82,88,100,0.81
180,Ishinomaki,JP,2022-05-07 19:06:13,38.4167,141.3,51.06,75,100,22.5
181,Katangli,RU,2022-05-07 19:06:14,51.7102,143.2326,29.91,96,100,5.17
182,Bengkulu,ID,2022-05-07 19:06:14,-3.8004,102.2655,76.08,88,100,5.46
183,Coihaique,CL,2022-05-07 19:06:15,-45.5752,-72.0662,56.01,88,100,6.91
184,Cockburn Town,TC,2022-05-07 19:02:18,21.4612,-71.1419,79.29,77,55,7.81
185,Kapaa,US,2022-05-07 19:07:16,22.0752,-159.319,80.58,83,100,20.71
186,Nizhniy Kuranakh,RU,2022-05-07 19:07:16,58.8353,125.4869,29.73,90,16,5.55
187,Delta Del Tigre,UY,2022-05-07 19:07:17,-34.7633,-56.3853,73.81,68,75,5.75
188,Saskylakh,RU,2022-05-07 19:07:18,71.9167,114.0833,0.01,98,15,7.11
189,Makakilo City,US,2022-05-07 19:07:18,21.3469,-158.0858,75.52,68,100,11.5
190,Timmins,CA,2022-05-07 19:07:19,48.4669,-81.3331,57.09,27,4,5.55
191,Yumen,CN,2022-05-07 19:07:19,40.2833,97.2,53.53,24,6,6.71
192,Jiazi,CN,2022-05-07 19:07:20,22.8779,116.067,73.06,83,99,7.29
193,Yerbogachen,RU,2022-05-07 19:07:20,61.2767,108.0108,38.55,79,10,15.23
194,San Carlos De Bariloche,AR,2022-05-07 19:07:21,-41.1456,-71.3082,62.35,48,75,16.11
195,Kharp,RU,2022-05-07 19:07:22,66.8014,65.8081,26.51,97,100,1.48
196,Tezu,IN,2022-05-07 19:07:22,27.9167,96.1667,73.89,73,33,4.34
197,Ocos,GT,2022-05-07 19:07:23,14.5094,-92.1933,91.58,68,86,8.03
198,Barrow,US,2022-05-07 19:07:24,71.2906,-156.7887,21.22,93,100,10.36
199,Luba,GQ,2022-05-07 19:07:24,3.4568,8.5547,81.61,83,88,5.66
200,Kiruna,SE,2022-05-07 19:07:25,67.8557,20.2251,31.12,64,40,13.8
201,Kalundborg,DK,2022-05-07 19:07:25,55.6795,11.0886,51.33,65,83,18.1
202,Ostrovnoy,RU,2022-05-07 19:02:55,68.0531,39.5131,38.98,100,100,14.18
203,Plotnikovo,RU,2022-05-07 19:07:26,55.0247,85.9436,34.14,44,7,9.26
204,Athabasca,CA,2022-05-07 19:06:56,54.7169,-113.2854,45.1,64,100,16.53
205,Kaili,ID,2022-05-07 19:07:27,-3.4626,120.2147,68.25,90,99,3.33
206,Swift Current,CA,2022-05-07 19:07:27,50.2834,-107.8014,54.79,52,100,6.38
207,Severo-Kurilsk,RU,2022-05-07 19:07:28,50.6789,156.125,39.11,90,100,3.24
208,Qaanaaq,GL,2022-05-07 19:07:29,77.484,-69.3632,20.1,74,100,0.85
209,Grand Gaube,MU,2022-05-07 19:07:29,-20.0064,57.6608,77.38,73,11,5.99
210,Victoria Point,AU,2022-05-07 19:07:30,-27.5833,153.3,66.18,98,100,1.01
211,Wuning,CN,2022-05-07 19:07:30,29.2589,120.2311,65.05,96,100,3.13
212,Vardo,NO,2022-05-07 19:07:31,70.3705,31.1107,37.22,76,13,29.19
213,Geraldton,AU,2022-05-07 19:07:31,-28.7667,114.6,55.81,88,75,6.91
214,Rio Grande,BR,2022-05-07 19:07:32,-32.035,-52.0986,75.31,62,0,6.71
215,Ahuimanu,US,2022-05-07 19:07:32,21.4447,-157.8378,76.71,74,75,11.5
216,Kolokani,ML,2022-05-07 19:07:33,13.5728,-8.0339,97.48,19,65,1.61
217,Old Orchard Beach,US,2022-05-07 19:07:34,43.5173,-70.3775,58.19,47,75,16.11
218,Kieta,PG,2022-05-07 19:07:34,-6.2167,155.6333,78.57,84,75,0.56
219,Gaoua,BF,2022-05-07 19:07:35,10.2992,-3.2508,87.53,47,76,2.28
220,Lebu,CL,2022-05-07 19:07:35,-37.6167,-73.65,58.24,74,5,7.99
221,Turhal,TR,2022-05-07 19:07:36,40.3875,36.0811,46.69,89,100,1.63
222,Pacific Grove,US,2022-05-07 19:07:36,36.6177,-121.9166,70.56,72,40,17.27
223,Ordzhonikidze,KZ,2022-05-07 19:07:37,52.4411,61.7408,45.14,29,6,5.01
224,Sao Filipe,CV,2022-05-07 19:07:37,14.8961,-24.4956,73.49,79,75,16.2
225,Port Elizabeth,ZA,2022-05-07 19:07:38,-33.918,25.5701,60.31,84,100,1.01
226,Slave Lake,CA,2022-05-07 19:05:04,55.2834,-114.769,40.98,81,100,20.71
227,Qasigiannguit,GL,2022-05-07 19:07:38,68.8193,-51.1922,28.65,72,12,4.18
228,Mishkino,RU,2022-05-07 19:07:39,55.3389,63.9175,43.88,43,46,7.58
229,Mountain Home,US,2022-05-07 19:03:06,43.133,-115.6912,56.68,38,40,16.11
230,Sola,VU,2022-05-07 19:07:40,-13.8833,167.55,81.48,71,3,19.3
231,Tasiilaq,GL,2022-05-07 19:07:41,65.6145,-37.6368,32.16,67,94,5.82
232,Manaus,BR,2022-05-07 19:07:48,-3.1019,-60.025,84.7,78,75,4.61
233,Naqadeh,IR,2022-05-07 19:07:21,36.9553,45.388,45.07,71,8,6.71
234,Cherskiy,RU,2022-05-07 19:08:42,68.75,161.3,28.08,95,100,2.62
235,Cape Coast,GH,2022-05-07 19:08:42,5.1053,-1.2466,81.93,78,100,7.25
236,Udachnyy,RU,2022-05-07 19:08:43,66.4167,112.4,28.45,86,100,6.4
237,Progreso,MX,2022-05-07 19:08:43,21.2833,-89.6667,96.91,57,0,13.8
238,Waitati,NZ,2022-05-07 19:08:44,-45.75,170.5667,61.81,57,100,6.42
239,Fraga,ES,2022-05-07 19:03:52,41.5229,0.3489,74.23,37,2,7.18
240,Punto Fijo,VE,2022-05-07 19:08:45,11.6956,-70.1996,81.88,73,100,12.73
241,Nyurba,RU,2022-05-07 19:08:45,63.2842,118.3319,34.75,91,100,6.4
242,Xai-Xai,MZ,2022-05-07 19:08:46,-25.0519,33.6442,69.33,83,0,8.66
243,Portland,US,2022-05-07 19:05:11,45.5234,-122.6762,54.23,76,100,9.22
244,Thunder Bay,CA,2022-05-07 19:08:47,48.4001,-89.3168,54.0,51,15,8.37
245,Humaita,BR,2022-05-07 19:08:48,-7.5061,-63.0208,78.66,93,100,2.53
246,Chokurdakh,RU,2022-05-07 19:08:48,70.6333,147.9167,14.11,95,100,10.67
247,Cidreira,BR,2022-05-07 19:08:49,-30.1811,-50.2056,66.78,64,0,6.02
248,La Ronge,CA,2022-05-07 19:08:49,55.1001,-105.2842,55.47,44,85,2.48
249,Sao Joao Da Barra,BR,2022-05-07 19:08:50,-21.6403,-41.0511,78.89,67,1,16.46
250,Mahebourg,MU,2022-05-07 19:08:51,-20.4081,57.7,77.25,79,19,14.94
251,Kaitangata,NZ,2022-05-07 19:08:52,-46.2817,169.8464,54.0,92,100,2.84
252,Nelson Bay,AU,2022-05-07 19:08:52,-32.7167,152.15,52.0,81,15,1.01
253,San Patricio,US,2022-05-07 19:08:53,28.017,-97.5169,96.08,37,0,13.8
254,Cedar Rapids,US,2022-05-07 19:08:53,42.0083,-91.6441,70.92,38,0,14.0
255,Muroto,JP,2022-05-07 19:08:54,33.2833,134.15,64.26,80,3,15.01
256,Fez,MA,2022-05-07 19:08:55,34.0372,-4.9998,80.85,27,0,6.91
257,Xining,CN,2022-05-07 19:08:55,36.6167,101.7667,55.33,50,100,9.71
258,Lasa,IT,2022-05-07 19:08:56,46.6166,10.7002,52.36,95,100,4.25
259,Anshun,CN,2022-05-07 19:08:56,26.25,105.9333,59.41,95,75,3.56
260,Price,US,2022-05-07 19:08:57,39.5994,-110.8107,73.11,17,75,11.5
261,Pisco,PE,2022-05-07 19:05:04,-13.7,-76.2167,68.05,83,0,14.97
262,Mizoch,UA,2022-05-07 19:08:48,50.4,26.15,53.22,83,13,4.54
263,Anadyr,RU,2022-05-07 19:08:58,64.75,177.4833,30.49,80,100,7.45
264,Kolyubakino,RU,2022-05-07 19:08:58,55.668,36.5323,55.58,82,38,8.59
265,Victoria,HK,2022-05-07 19:06:32,22.2855,114.1577,77.05,79,100,5.01
266,Tamiahua,MX,2022-05-07 19:08:59,21.2667,-97.45,88.54,62,9,13.13
267,Walvis Bay,NA,2022-05-07 19:09:00,-22.9575,14.5053,57.09,67,0,16.42
268,Narsaq,GL,2022-05-07 19:09:00,60.9167,-46.05,53.82,74,100,2.68
269,Souillac,MU,2022-05-07 19:09:01,-20.5167,57.5167,75.38,83,22,13.78
270,Tilichiki,RU,2022-05-07 19:09:01,60.4667,166.1,31.05,98,100,4.23
271,Solnechnyy,RU,2022-05-07 19:09:02,50.7214,136.6319,34.79,92,100,7.27
272,Xapuri,BR,2022-05-07 19:09:03,-10.6517,-68.5044,88.99,43,22,4.21
273,Nueva Guinea,NI,2022-05-07 19:10:03,11.6876,-84.4562,84.15,69,99,8.7
274,Alpena,US,2022-05-07 19:10:04,45.0617,-83.4327,55.72,41,0,7.0
275,Gornyatskiy,RU,2022-05-07 19:10:05,48.2915,40.9575,46.65,46,65,8.01
276,Puro,PH,2022-05-07 19:10:06,12.4841,123.3827,81.12,80,11,10.07
277,Adrar,MR,2022-05-07 19:10:06,20.5022,-10.0711,93.76,13,12,5.64
278,Coquimbo,CL,2022-05-07 19:08:55,-29.9533,-71.3436,58.73,77,100,3.44
279,Bathsheba,BB,2022-05-07 19:10:07,13.2167,-59.5167,84.81,70,40,11.5
280,Santa Isabel,BR,2022-05-07 19:07:39,-23.3156,-46.2214,65.91,77,98,8.03
281,Rameswaram,IN,2022-05-07 19:10:08,9.2833,79.3,85.87,78,100,14.45
282,Haines Junction,CA,2022-05-07 19:10:09,60.7522,-137.5108,34.77,94,100,1.63
283,Kamenka,RU,2022-05-07 19:10:10,51.3223,42.7678,45.36,54,0,7.76
284,Cap-Aux-Meules,CA,2022-05-07 19:10:04,47.3821,-61.8597,33.8,69,19,16.42
285,Skjervoy,NO,2022-05-07 19:09:20,70.0311,20.9714,35.6,87,100,41.7
286,Kitaibaraki,JP,2022-05-07 19:10:11,36.7833,140.75,59.14,73,100,13.04
287,Krasnovka,RU,2022-05-07 19:10:11,48.8177,40.0923,46.27,50,42,7.85
288,Tsumeb,NA,2022-05-07 19:10:12,-19.2333,17.7167,65.43,34,0,6.96
289,Namatanai,PG,2022-05-07 19:10:13,-3.6667,152.4333,79.2,84,52,8.01
290,Castelo Do Piaui,BR,2022-05-07 19:10:14,-5.3222,-41.5525,84.38,63,100,1.99
291,Canutama,BR,2022-05-07 19:10:14,-6.5339,-64.3831,81.93,88,40,3.27
292,Saint-Augustin,CA,2022-05-07 19:10:15,51.226,-58.6502,40.89,45,100,15.12
293,Jiujiang,CN,2022-05-07 19:10:16,29.7333,115.9833,68.43,84,100,13.29
